Time	Temp	Hum	Baro	Acc(x)	Acc(y)	Acc(z)	Mag(x)	Mag(y)	Mag(z)	Gyro(x)	Gyro(y)	Gyro(z)	Light
19:01:18	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	182.0
19:01:19	-9999	-9999	1008.20996	0.5363012	4.2521024	7.9870567	5.75	16.5	-27.5	0.37384954	-0.8918633	-0.07086037	210.0
19:01:20	-9999	-9999	1008.26996	3.9264908	3.8498764	8.734048	-4.5625	13.5625	-30.375	0.09773844	-1.8619173	0.30543262	210.0
19:01:21	-9999	-9999	1008.26996	6.5505357	2.0494366	6.4739213	-8.0	21.6875	-24.375	-0.18936823	0.816116	-0.22235495	38.0
19:01:22	-9999	-9999	1008.26996	5.707777	1.8579005	7.680599	-6.0	21.4375	-31.1875	-0.48258355	-0.056199603	0.14049901	182.0
19:01:23	-9999	-9999	1008.26996	8.063671	1.532289	3.8881836	-23.25	17.5625	-34.375	0.24923302	-1.2070698	-0.15149458	31.0
19:01:24	-9999	-9999	1008.3	7.642292	0.2873042	7.0102224	-10.0625	9.6875	-30.625	-0.7819075	-1.609019	-0.015882496	175.0
19:01:25	-9999	-9999	1008.38995	6.703765	1.2641385	7.086837	-6.3125	11.25	-27.4375	0.24190263	-1.5931365	-0.089186326	196.0
19:01:26	-9999	-9999	1008.24	7.699753	-1.3215994	-3.2944214	-14.875	14.9375	-9.5625	0.080634214	-0.3811799	1.1704178	1.0
19:01:27	-9999	-9999	1008.3	8.90643	-1.5897499	-5.0374002	-9.25	20.0625	-8.1875	0.119729586	-0.13439035	0.06841691	1.0
19:01:28	-9999	-9999	1008.3	8.101978	-1.6472107	-5.133168	-8.5625	22.625	-9.875	-0.2883284	0.14294247	-0.21502456	1.0
19:01:29	-9999	-9999	1008.32996	8.791509	-1.6089035	-4.7500963	-11.5625	25.5625	-13.8125	-0.10995574	-0.02321288	0.018325957	1.0
19:01:30	-9999	-9999	1008.32996	8.714894	-1.4748282	-4.807557	-16.25	27.0	-11.8125	-0.065973446	-0.039095376	-0.009773844	1.0
19:01:31	-9999	-9999	1008.3	8.6574335	-1.1683705	-4.9224787	-18.3125	24.625	-9.75	-0.09896017	-0.010995574	-0.02687807	1.0
19:01:32	-9999	-9999	1008.32996	8.523358	-1.1683705	-4.8458643	-17.0625	19.625	-7.25	-0.081855945	-0.06352998	-0.019547688	1.0
19:01:33	-9999	-9999	1008.24	8.734048	-0.9959879	-5.0757074	-13.6875	18.1875	-10.5625	-0.080634214	-0.040317107	-0.035430185	1.0
19:01:34	-9999	-9999	1008.3	8.561666	-0.9768343	-4.9799395	-12.1875	18.0	-12.5	-0.06963864	-0.034208454	-0.013439035	1.0
19:01:35	-9999	-9999	1008.38995	8.63828	-0.8810662	-5.171476	-11.0625	17.875	-10.6875	-0.07086037	-0.040317107	0.0036651916	1.0
19:01:36	-9999	-9999	1008.3	8.714894	-0.5363012	-5.267244	-7.875	18.625	-9.5	-0.062308256	-0.052534413	-0.002443461	1.0
19:01:37	-9999	-9999	1008.24	8.580819	-0.8810662	-4.8458643	-9.125	19.375	-10.4375	-0.057421334	-0.05009095	-0.0061086523	1.0
19:01:38	-9999	-9999	1008.3	8.734048	-1.3215994	-5.1523223	-11.8125	18.875	-12.0625	-0.087964594	-0.035430185	0.015882496	1.0
19:01:39	-9999	-9999	1008.3	8.542512	-0.9959879	-4.999093	-11.0	17.75	-12.8125	-0.07452556	-0.02565634	-0.009773844	1.0
19:01:40	-9999	-9999	1008.32996	8.714894	-0.63206923	-5.209783	-11.1875	18.1875	-12.5625	-0.118507855	0.002443461	-0.013439035	1.0
19:01:41	-9999	-9999	1008.36	8.580819	-0.7278373	-5.094861	-13.0	22.0625	-0.375	-0.064751714	-0.052534413	-0.017104227	1.0
19:01:42	-9999	-9999	1008.38995	8.599973	-0.93852705	-5.171476	-13.6875	23.5	-1.8125	-0.0720821	-0.05375614	0.004886922	1.0
19:01:43	-9999	-9999	1008.32996	8.619126	-0.9576807	-5.305551	-13.1875	22.5625	-7.875	-0.07086037	-0.015882496	-0.009773844	1.0
19:01:44	-9999	-9999	1008.3	8.6574335	-0.7278373	-5.267244	-15.1875	22.625	-8.125	-0.08552113	-0.014660766	-0.029321533	1.0
19:01:45	-9999	-9999	1008.32996	8.619126	-0.51714754	-5.0757074	-15.5	21.875	-10.375	-0.080634214	-0.06719518	-0.028099801	1.0
19:01:46	-9999	-9999	1008.38995	8.408437	-0.51714754	-5.3247046	-12.5625	19.1875	-12.5	-0.057421334	-0.029321533	-0.012217305	1.0
19:01:47	-9999	-9999	1008.3	8.561666	-0.5746084	-5.2289367	-10.0	17.125	-13.8125	-0.06719518	-0.03176499	-0.009773844	1.0
19:01:48	-9999	-9999	1008.32	8.485051	-0.93852705	-5.3247046	-15.5625	29.5625	-6.4375	-0.0720821	-0.111177474	-0.013439035	1.0
19:01:49	-9999	-9999	1008.29	8.963891	-0.5554548	-5.3821654	-19.4375	27.5	-0.375	-0.0842994	0.059864793	0.0061086523	1.0
19:01:50	-9999	-9999	1008.29	8.580819	-0.45968673	-5.45878	-20.75	27.75	-1.5	-0.062308256	-0.040317107	-0.004886922	1.0
19:01:51	-9999	-9999	1008.25995	8.714894	-0.7469909	-4.9224787	-23.9375	26.6875	5.0625	-0.058643065	-0.06841691	0.02321288	1.0
19:01:52	-9999	-9999	1008.25995	8.465898	-1.4748282	-5.841852	-24.5625	23.3125	12.25	-0.04520403	-0.087964594	0.0036651916	1.0
19:01:53	-9999	-9999	1008.32	8.561666	-0.93852705	-5.1906295	-23.125	15.875	3.125	-0.05497787	-0.10995574	0.010995574	1.0
19:01:54	-9999	-9999	1008.25995	8.619126	-0.22984336	-5.305551	-20.5625	12.0625	-0.6875	-0.05497787	-0.042760566	0.017104227	1.0
19:01:56	-9999	-9999	1008.35	8.676587	-0.019153614	-5.133168	-20.0	17.5	8.8125	-0.089186326	0.02687807	0.013439035	1.0
19:01:57	-9999	-9999	1008.25995	8.408437	-0.842759	-5.3438582	-17.5625	18.0625	4.5	-0.0720821	-0.061086524	-0.015882496	1.0
