Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,Turn,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1473908689845,-9999,-9999,1005.41,-0.49799395,8.465898,4.8841715,0.10234904,0.5986881,-0.22951937,-2.125,62.375,-4.9375,12.878998,-9999,-0.008552114,0.037873644,-0.040317107,0.0,-9999,-9999,-9999
1473908689952,-9999,-9999,1005.41,-0.38307226,8.446744,4.9224787,0.10234904,0.5986881,-0.22951937,-7.5,63.125,-3.1875,12.887207,-9999,-0.007330383,-0.02687807,0.018325957,0.0,-9999,-9999,-9999
1473908690097,-9999,-9999,1005.41,-0.51714754,8.42759,4.903325,0.10234904,0.5986881,-0.22951937,-7.4375,63.25,-3.1875,12.945587,-9999,0.0,-0.02076942,0.015882496,0.0,-9999,-9999,-9999
1473908690199,-9999,-9999,1005.47,-0.5554548,8.810662,4.8458643,0.10234904,0.5986881,-0.22951937,-7.6875,63.5,-3.9375,12.996582,-9999,-0.0012217305,0.012217305,0.0,0.0,-9999,-9999,-9999
1473908690300,-9999,-9999,1005.44,-0.6512229,8.734048,4.7309427,0.10234904,0.5986881,-0.22951937,-7.9375,63.375,-3.5625,13.088593,-9999,0.007330383,0.0012217305,-0.0012217305,0.0,-9999,-9999,-9999
1473908690407,-9999,-9999,1005.41,-0.5363012,8.561666,5.0757074,-0.080376804,0.058187485,0.21223116,-7.875,63.3125,-3.1875,13.167511,-9999,0.0061086523,0.004886922,0.002443461,0.0,-9999,-9999,-9999
1473908690508,-9999,-9999,1005.38,-0.40222588,8.542512,4.960786,0.023954034,0.24850464,0.07930803,-7.5,64.125,-3.25,13.198669,-9999,-0.002443461,-0.029321533,0.02565634,0.0,-9999,-9999,-9999
1473908690611,-9999,-9999,1005.44,-0.5554548,8.619126,4.999093,-0.1015901,-0.038488388,0.058649063,-7.375,63.625,-3.4375,13.105133,-9999,0.004886922,0.013439035,-0.008552114,0.0,-9999,-9999,-9999
1473908690714,-9999,-9999,1005.41,-0.4213795,8.7532015,4.8841715,-0.15948758,0.094739914,0.13503218,-7.0625,63.125,-3.3125,13.011444,-9999,0.0012217305,0.02321288,-0.010995574,0.0,-9999,-9999,-9999
1473908690821,-9999,-9999,1005.35,-0.5363012,8.523358,4.9416323,0.027359366,0.28577137,0.07805729,-6.8125,63.5625,-3.625,12.885895,-9999,-0.0012217305,-0.047647487,0.034208454,0.0,-9999,-9999,-9999
1473908690922,-9999,-9999,1005.38,-0.63206923,8.350976,4.9416323,-0.25191158,0.017569542,-0.13346815,-7.0625,63.9375,-3.6875,12.76828,-9999,-0.004886922,-0.015882496,0.008552114,0.0,-9999,-9999,-9999
1473908691028,-9999,-9999,1005.38,-0.49799395,8.619126,4.8458643,-0.048926145,0.3036995,0.1169548,-7.4375,63.4375,-3.625,12.714233,-9999,0.0061086523,-0.036651913,0.028099801,0.0,-9999,-9999,-9999
