Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),Mag(x),Mag(y),Mag(z),Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
12:16:33.735,-9999,-9999,1002.1492,-1.3371277,4.2592926,7.6665344,-29.066467,37.27417,-8.930969,-0.23750305,-0.46517944,0.027572632,1240.0072,-9999,-9999,-9999
12:16:34.133,-9999,-9999,1002.1492,-1.2977142,2.552246,11.027634,-29.066467,37.27417,-8.930969,-0.23750305,-0.46517944,0.027572632,918.2493,35.9047663,-79.0546048,-9999
12:16:34.240,-9999,-9999,1002.1492,-0.58854675,2.4442444,8.466827,-34.44214,39.512634,-6.071472,0.011810303,-0.20532227,0.04335022,491.88794,35.9047663,-79.0546048,-9999
12:16:34.342,-9999,-9999,1002.1532,-0.11155701,2.8235168,9.743866,-33.40149,39.512634,-5.062866,-0.16490173,-0.23368835,0.13224792,338.88895,35.906173,-79.053145,-9999
12:16:34.446,-9999,-9999,1002.1492,0.1938324,3.0640564,10.113998,-33.61664,39.68811,-5.6427,0.31092834,0.17468262,0.12155151,270.12988,35.906173,-79.053145,-9999
12:16:34.551,-9999,-9999,1002.1492,0.27424622,3.194687,9.3029175,-33.055115,39.738464,-7.092285,0.18547058,0.09814453,0.06411743,211.11063,35.906173,-79.053145,-9999
12:16:34.655,-9999,-9999,1002.1561,-0.36914063,2.7163696,10.418396,-32.36084,39.857483,-7.7545166,0.4915924,-0.22869873,-0.06826782,200.40407,35.906173,-79.053145,-9999
12:16:34.758,-9999,-9999,1002.1592,-0.9937439,3.3422394,9.446167,-31.530762,39.328003,-11.250305,0.055145264,-0.3694458,0.015960693,199.0774,35.906173,-79.053145,-9999
12:16:34.860,-9999,-9999,1002.1592,-1.190628,3.0529327,8.886948,-32.25708,39.06555,-12.185669,0.18141174,-0.120391846,-0.023010254,271.64536,35.906173,-79.053145,-9999
12:16:34.967,-9999,-9999,1002.1592,-1.2017365,3.0559692,8.871887,-32.185364,38.983154,-11.291504,0.13616943,-0.06654358,-0.07646179,316.6653,35.906173,-79.053145,-9999
12:16:35.071,-9999,-9999,1002.1592,-0.75891113,3.158615,9.320358,-32.014465,39.857483,-12.12616,-0.047470093,0.059005737,0.067840576,323.6607,35.906173,-79.053145,-9999
12:16:35.171,-9999,-9999,1002.1692,-0.98983765,3.2606354,9.247574,-32.269287,40.844727,-10.040283,-0.20257568,0.22142029,0.027832031,315.60382,35.906173,-79.053145,-9999
12:16:35.272,-9999,-9999,1002.1592,-0.7774353,3.1743622,8.476242,-31.726074,38.497925,-11.39679,0.05038452,0.01399231,0.0045776367,302.0085,35.906173,-79.053145,-9999
12:16:35.373,-9999,-9999,1002.1592,-0.8772278,3.2080078,8.755417,-32.94525,40.586853,-10.456848,0.37800598,-0.24836731,-0.0388031,280.58112,35.906173,-79.053145,-9999
12:16:35.479,-9999,-9999,1002.1592,-0.6186218,3.443222,9.32164,-30.453491,38.996887,-11.2854,0.16828918,0.10739136,0.0013275146,284.5741,35.906173,-79.053145,-9999
12:16:35.580,-9999,-9999,1002.1592,-0.9580231,3.0677032,9.337463,-31.958008,38.90381,-11.108398,-0.60627747,0.087249756,0.053588867,282.18805,35.906173,-79.053145,-9999
12:16:35.680,-9999,-9999,1002.1492,-0.675766,3.1053772,8.247665,-33.078003,38.69629,-11.198425,0.09222412,-0.0014190674,0.010650635,284.73972,35.906173,-79.053145,-9999
12:16:35.784,-9999,-9999,1002.1492,-0.5785217,3.369217,8.458694,-33.229065,40.029907,-10.276794,0.26724243,-0.12905884,-0.026763916,254.65906,35.906173,-79.053145,-9999
12:16:35.885,-9999,-9999,1002.1492,-1.2204285,3.2519531,8.801498,-32.60498,38.34076,-10.005188,0.033691406,0.14978027,-0.10095215,245.05493,35.906173,-79.053145,-9999
12:16:35.988,-9999,-9999,1002.1592,-1.1945801,3.3761292,8.63356,-33.64258,39.56604,-10.353088,0.11488342,0.71266174,0.06373596,245.05493,35.906173,-79.053145,-9999
12:16:36.089,-9999,-9999,1002.1592,-1.3382263,3.6209106,8.070038,-31.97174,39.717102,-13.639832,0.16329956,0.7792816,0.2922516,408.00488,35.906173,-79.053145,-9999
12:16:36.192,-9999,-9999,1002.1592,-1.682724,3.731018,8.242935,-31.147766,37.96234,-15.994263,0.09931946,0.19140625,-0.002456665,547.03937,35.906173,-79.053145,-9999
12:16:36.298,-9999,-9999,1002.1581,-1.2049255,4.0397644,8.026184,-29.725647,40.667725,-17.370605,0.4715271,-0.77937317,0.065841675,653.183,35.906173,-79.053145,-9999
12:16:36.400,-9999,-9999,1002.152,-0.54745483,4.4807587,8.729477,-29.942322,38.487244,-17.967224,-0.50379944,-0.60943604,0.12614441,602.6338,35.906173,-79.053145,3
12:16:36.503,-9999,-9999,1002.1592,-1.6226349,3.3890076,8.565079,-31.643677,39.723206,-14.042664,-0.43074036,0.30706787,-0.19847107,390.15674,35.906173,-79.053145,3
