Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,DegreesAvg,Turn,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1476238057140,-9999,-9999,1009.0,0.05746084,0.61291564,9.490616,-0.01464713,0.036571562,-0.2988186,5.3125,-22.4375,-5.3125,193.82748,194.24118565217393,-9999,0.13194689,-0.036651913,-0.10140363,0.0,-9999,-9999,-9999
1476238057247,-9999,-9999,1008.91,0.21068975,0.24899697,10.007763,0.10326482,-0.36944854,0.22122288,5.0625,-22.1875,-5.625,193.75443,194.22090416666666,-9999,-0.034208454,0.02321288,0.036651913,0.0,-9999,-9999,-9999
1476238057364,-9999,-9999,1008.97,0.2681506,0.4213795,9.586384,0.109717526,-0.21404797,-0.1989212,5.125,-22.125,-5.6875,193.6715,194.19892800000002,-9999,0.07086037,0.018325957,-0.04642576,0.0,-9999,-9999,-9999
1476238057472,-9999,-9999,1009.0,0.15322891,0.5746084,9.682152,0.027980715,-0.17383379,-0.04159832,5.0,-22.5625,-5.375,193.63017,194.1770526923077,-9999,-0.0012217305,-0.036651913,0.0036651916,0.0,-9999,-9999,-9999
1476238057581,-9999,-9999,1009.02997,0.2681506,0.47884035,9.816227,0.06715353,-0.19802195,0.037042618,5.25,-22.625,-5.0625,193.61989,194.15641703703707,-9999,0.0036651916,-0.034208454,-0.029321533,0.0,-9999,-9999,-9999
1476238057687,-9999,-9999,1008.94,0.19153613,0.5363012,9.720459,-0.0069161206,-0.28612173,-0.016691208,5.25,-22.375,-5.3125,193.66826,194.1389828571429,-9999,0.052534413,-0.008552114,-0.080634214,0.0,-9999,-9999,-9999
1476238057794,-9999,-9999,1009.0,0.095768064,0.6703765,9.624691,-0.05900134,-0.22369754,-0.09158993,5.75,-22.0,-6.0,193.83461,194.12848724137933,-9999,0.09040806,-0.065973446,-0.02565634,0.0,-9999,-9999,-9999
1476238057906,-9999,-9999,1009.12,0.2681506,0.61291564,9.739613,0.10829513,-0.13169658,-0.017935753,6.1875,-21.75,-6.625,194.2066,194.13109100000005,-9999,-0.04153884,0.073303826,0.007330383,0.0,-9999,-9999,-9999
1476238058015,-9999,-9999,1009.02997,0.22984336,0.4213795,9.816227,0.011512682,-0.26438302,0.03602028,5.5625,-22.125,-7.25,194.3881,194.13938161290326,-9999,0.043982297,-0.05497787,-0.058643065,0.0,-9999,-9999,-9999
1476238058128,-9999,-9999,1009.06,0.2873042,0.5746084,9.758766,0.032245845,-0.18849844,-0.03781414,5.5625,-22.625,-6.875,194.43503,194.14862062500004,-9999,0.04642576,-0.030543262,0.02565634,0.0,-9999,-9999,-9999
1476238058243,-9999,-9999,1009.08997,0.24899697,0.51714754,9.682152,0.013981834,-0.30881506,-0.10958576,5.6875,-22.4375,-6.6875,194.5109,194.15959878787882,-9999,-0.0036651916,-0.029321533,0.0012217305,0.0,-9999,-9999,-9999
1476238058351,-9999,-9999,1009.08997,0.17238252,0.6895301,9.758766,-0.045687422,-0.062108755,-0.050732613,5.8125,-21.75,-6.5,194.71297,194.17587441176474,-9999,0.014660766,0.010995574,0.039095376,0.0,-9999,-9999,-9999
1476238058458,-9999,-9999,1009.08997,0.22984336,0.7278373,9.720459,-0.013689727,0.0061041117,-0.104465485,5.5625,-22.1875,-6.4375,194.82533,194.1944302857143,-9999,0.052534413,0.004886922,-0.0012217305,0.0,-9999,-9999,-9999
1476238058562,-9999,-9999,1009.12,0.21068975,0.91937345,9.701305,-0.005676836,0.05168569,-0.0644865,5.6875,-22.4375,-6.625,194.82956,194.2120727777778,-9999,-0.015882496,-0.058643065,0.010995574,0.0,-9999,-9999,-9999
1476238058674,-9999,-9999,1009.06,0.21068975,0.9576807,9.758766,0.02366218,0.08110398,-0.004714012,6.0625,-22.125,-6.75,194.93398,194.2315837837838,-9999,-0.002443461,-0.064751714,0.056199603,0.0,-9999,-9999,-9999
1476238058783,-9999,-9999,1009.12,0.22984336,1.091756,9.701305,0.044553295,0.113618314,-0.11510563,5.625,-22.3125,-6.4375,195.07236,194.25370947368424,-9999,-0.0036651916,-0.07941248,0.012217305,0.0,-9999,-9999,-9999
1476238058895,-9999,-9999,1008.97,0.1340753,1.0726024,9.662998,-0.12306161,0.07622069,-0.17182827,5.5625,-22.0,-6.5,194.98758,194.2725266666667,-9999,-0.018325957,0.013439035,0.0061086523,0.0,-9999,-9999,-9999
